Epoch: [5][20/157]	Time 1.202	ELBO 5.79642e+05	 MSE: 3.0499e+02	 MSM: 0.0000e+00
Epoch: [5][25/157]	Time 1.227	ELBO 5.80086e+05	 MSE: 3.0454e+02	 MSM: 0.0000e+00
Epoch: [5][30/157]	Time 1.195	ELBO 5.74755e+05	 MSE: 3.0987e+02	 MSM: 0.0000e+00
Epoch: [5][35/157]	Time 1.180	ELBO 5.88244e+05	 MSE: 2.9638e+02	 MSM: 0.0000e+00
Epoch: [5][40/157]	Time 1.190	ELBO 6.01698e+05	 MSE: 2.8292e+02	 MSM: 0.0000e+00
Epoch: [5][45/157]	Time 1.185	ELBO 5.96861e+05	 MSE: 2.8776e+02	 MSM: 0.0000e+00
Epoch: [5][50/157]	Time 1.241	ELBO 5.98636e+05	 MSE: 2.8598e+02	 MSM: 0.0000e+00
Epoch: [5][55/157]	Time 1.273	ELBO 5.85243e+05	 MSE: 2.9937e+02	 MSM: 0.0000e+00
Epoch: [5][60/157]	Time 1.265	ELBO 5.44786e+05	 MSE: 3.3982e+02	 MSM: 0.0000e+00
Epoch: [5][65/157]	Time 1.306	ELBO 5.68157e+05	 MSE: 3.1644e+02	 MSM: 0.0000e+00
Epoch: [5][70/157]	Time 1.193	ELBO 5.98095e+05	 MSE: 2.8651e+02	 MSM: 0.0000e+00
Epoch: [5][75/157]	Time 1.209	ELBO 5.89391e+05	 MSE: 2.9521e+02	 MSM: 0.0000e+00
Epoch: [5][80/157]	Time 1.232	ELBO 5.99439e+05	 MSE: 2.8516e+02	 MSM: 0.0000e+00
Epoch: [5][85/157]	Time 1.192	ELBO 6.18613e+05	 MSE: 2.6598e+02	 MSM: 0.0000e+00
Epoch: [5][90/157]	Time 1.192	ELBO 6.14592e+05	 MSE: 2.7002e+02	 MSM: 0.0000e+00
Epoch: [5][95/157]	Time 1.213	ELBO 6.21125e+05	 MSE: 2.6347e+02	 MSM: 0.0000e+00
Epoch: [5][100/157]	Time 1.231	ELBO 6.35328e+05	 MSE: 2.4927e+02	 MSM: 0.0000e+00
Epoch: [5][105/157]	Time 1.212	ELBO 6.25849e+05	 MSE: 2.5875e+02	 MSM: 0.0000e+00
Epoch: [5][110/157]	Time 1.223	ELBO 6.40856e+05	 MSE: 2.4373e+02	 MSM: 0.0000e+00
Epoch: [5][115/157]	Time 1.203	ELBO 6.26717e+05	 MSE: 2.5787e+02	 MSM: 0.0000e+00
Epoch: [5][120/157]	Time 1.246	ELBO 6.48915e+05	 MSE: 2.3567e+02	 MSM: 0.0000e+00
Epoch: [5][125/157]	Time 1.196	ELBO 6.53766e+05	 MSE: 2.3083e+02	 MSM: 0.0000e+00
Epoch: [5][130/157]	Time 1.168	ELBO 6.37497e+05	 MSE: 2.4709e+02	 MSM: 0.0000e+00
Epoch: [5][135/157]	Time 1.210	ELBO 6.46457e+05	 MSE: 2.3813e+02	 MSM: 0.0000e+00
Epoch: [5][140/157]	Time 1.184	ELBO 6.54563e+05	 MSE: 2.3002e+02	 MSM: 0.0000e+00
Epoch: [5][145/157]	Time 1.218	ELBO 6.51095e+05	 MSE: 2.3349e+02	 MSM: 0.0000e+00
Epoch: [5][150/157]	Time 1.208	ELBO 6.65364e+05	 MSE: 2.1922e+02	 MSM: 0.0000e+00
Epoch: [5][155/157]	Time 1.230	ELBO 6.69573e+05	 MSE: 2.1500e+02	 MSM: 0.0000e+00
Epoch: [6][5/157]	Time 1.244	ELBO 6.79392e+05	 MSE: 2.0518e+02	 MSM: 0.0000e+00
Epoch: [6][10/157]	Time 1.245	ELBO 6.58874e+05	 MSE: 2.2570e+02	 MSM: 0.0000e+00
Epoch: [6][15/157]	Time 1.222	ELBO 6.59881e+05	 MSE: 2.2469e+02	 MSM: 0.0000e+00
Epoch: [6][20/157]	Time 1.216	ELBO 6.72665e+05	 MSE: 2.1191e+02	 MSM: 0.0000e+00
Epoch: [6][25/157]	Time 1.286	ELBO 6.89130e+05	 MSE: 1.9544e+02	 MSM: 0.0000e+00
Epoch: [6][30/157]	Time 1.187	ELBO 6.71657e+05	 MSE: 2.1291e+02	 MSM: 0.0000e+00
Epoch: [6][35/157]	Time 1.205	ELBO 7.00172e+05	 MSE: 1.8439e+02	 MSM: 0.0000e+00
Epoch: [6][40/157]	Time 1.215	ELBO 7.00965e+05	 MSE: 1.8359e+02	 MSM: 0.0000e+00
Epoch: [6][45/157]	Time 1.211	ELBO 6.93189e+05	 MSE: 1.9138e+02	 MSM: 0.0000e+00
Epoch: [6][50/157]	Time 1.208	ELBO 6.86081e+05	 MSE: 1.9848e+02	 MSM: 0.0000e+00
Epoch: [6][55/157]	Time 1.296	ELBO 6.53805e+05	 MSE: 2.3074e+02	 MSM: 0.0000e+00
Epoch: [6][60/157]	Time 1.211	ELBO 7.04362e+05	 MSE: 1.8020e+02	 MSM: 0.0000e+00
Epoch: [6][65/157]	Time 1.276	ELBO 6.88545e+05	 MSE: 1.9602e+02	 MSM: 0.0000e+00
Epoch: [6][70/157]	Time 1.191	ELBO 7.26441e+05	 MSE: 1.5812e+02	 MSM: 0.0000e+00
Epoch: [6][75/157]	Time 1.174	ELBO 7.05391e+05	 MSE: 1.7917e+02	 MSM: 0.0000e+00
Epoch: [6][80/157]	Time 1.196	ELBO 7.16735e+05	 MSE: 1.6782e+02	 MSM: 0.0000e+00
Epoch: [6][85/157]	Time 1.231	ELBO 7.07807e+05	 MSE: 1.7675e+02	 MSM: 0.0000e+00
Epoch: [6][90/157]	Time 1.201	ELBO 7.24659e+05	 MSE: 1.5990e+02	 MSM: 0.0000e+00
